Crop_Year,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
2006,Maharashtra,1529300.0,2569.7,2878.8,195306903.0,336446.0,1.6711666665
2006,Manipur,165370.0,389.17,1533.561905,21119402.7,36381.4,2.276666667
2006,Meghalaya,104285.0,200.209,7364.099999999999,13318237.35,22942.7,1.8571428570000001
2006,Mizoram,52851.0,29.464,4706.0,6749601.21,11627.220000000001,1.01625
2006,Nagaland,164680.0,263.52,2725.0,21031282.8,36229.6,1.6
2006,Odisha,4451000.0,6823.0,5150.700000000001,568437210.0,979220.0,1.549706349
2006,Puducherry,21645.0,60.808,4303.762500000001,2764282.95,4761.9,3.2466666666666666
2006,Punjab,2621000.0,10138.0,569.6,334727910.0,576620.0,3.75
2006,Sikkim,9200.0,21.45,2270.2,1174932.0,2024.0,4.84
2006,Tamil Nadu,1931397.0,6610.607,927.9,246658710.9,424907.34,3.584827586
2006,Tripura,250939.0,628.2,1764.3,32047419.69,55206.58,2.4225
2006,Uttar Pradesh,5920752.0,11123.613,1181.0,756139237.95,1302565.44,1.9205
2006,Uttarakhand,283585.0,571.336,2357.8,36216640.35,62388.7,2.3951923075
2006,West Bengal,5687028.0,14745.892,4894.200000000001,726290345.8900001,1251146.1600000001,2.4405555556666667
2007,Andhra Pradesh,3984000.0,13324.0,2008.4,531465600.0,637440.0,3.126818182
2007,Arunachal Pradesh,124029.0,158.146,3223.9,16545468.6,19844.64,1.225625
2007,Assam,2323996.0,3318.608,6462.299999999999,310021066.4,371839.36,1.5127160496666665
2007,Bihar,3477371.0,4458.764,4800.6,463881291.4,556379.36,1.0981520470000001
2007,Chhattisgarh,3902881.0,5634.972,1246.2,520644325.4,624460.96,1.393888889
2007,Delhi,7419.0,20.946,677.5,989694.6,1187.04,2.82
2007,Goa,52191.0,121.679,3674.7,6962279.4,8350.56,2.32
2007,Gujarat,758600.0,1474.2,2043.2,101197240.0,121376.0,2.4379166665
2007,Haryana,1072545.0,3606.0,443.8,143077503.0,171607.2,3.191578947
2007,Himachal Pradesh,78571.0,121.453,1095.4,10481371.4,12571.36,1.686363636
2007,Jammu and Kashmir,263246.0,561.355,1042.2,35117016.4,42119.36,1.9745
2007,Jharkhand,1198054.31,1470.624,2889.4,159820444.98,191688.6896,1.1027056275
2007,Karnataka,1416316.0,3868.515,3969.8999999999996,188936554.4,226610.56,2.556614205666667
2007,Kerala,228938.0,528.488,10468.8,30540329.2,36630.08,2.2195238096666667
2007,Madhya Pradesh,1634912.0,1325.175,740.4,218097260.8,261585.92,0.875
2007,Maharashtra,1576700.0,3011.5,2514.4,210331780.0,252272.0,1.9316206895
2007,Manipur,166150.0,406.15,1435.7,22164410.0,26584.0,2.378888889
2007,Meghalaya,106320.0,200.077,14106.0,14183088.0,17011.2,1.7780952383333333
2007,Mizoram,54541.0,15.688,6190.4,7275769.4,8726.56,0.76325
2007,Nagaland,167500.0,311.3,3538.0,22344500.0,26800.0,1.74375
2007,Odisha,4452000.0,7540.0,4901.4,593896800.0,712320.0,1.6462619046666667
2007,Puducherry,20437.0,53.324,4303.762500000001,2726295.8,3269.92,2.738888889
2007,Punjab,2610000.0,10489.0,527.2,348174000.0,417600.0,3.968
2007,Sikkim,11860.0,19.48,2003.4,1582124.0,1897.6,1.5475
2007,Tamil Nadu,1789170.0,5039.954,1067.2,238675278.0,286267.2,3.213793103
2007,Tripura,252897.0,640.424,2831.8,33736459.8,40463.52,2.4375
2007,Uttar Pradesh,5709388.0,11780.112,1345.8,761632359.2,913502.08,2.0570714285
2007,Uttarakhand,272169.0,565.067,3848.6,36307344.6,43547.04,2.566282051
2007,West Bengal,5719755.0,14719.52,6022.5,763015317.0,915160.8,2.4222222223333336
2008,Andhra Pradesh,4387216.0,14241.133,1889.2,627547376.6,394849.44,3.075227273
2008,Arunachal Pradesh,126799.0,164.538,2244.4,18137328.96,11411.91,1.183125
2008,Assam,2484126.0,4008.435,6329.700000000001,355329383.0,223571.34,1.5587796769999998
2008,Bihar,3495273.0,5589.982,3593.1000000000004,499963849.91999996,314574.57,1.4723781006666667
2008,Chhattisgarh,3928815.0,4707.499,1117.9,561977697.6,353593.35,1.198333333
2008,Delhi,7039.0,19.873,614.6,1006858.56,633.51,2.82
2008,Goa,49326.0,121.867,6543.2,7055591.039999999,4439.34,2.54
2008,Gujarat,747300.0,1302.9,1492.2,106893792.0,67257.0,2.2682026145
2008,Haryana,1211149.0,3299.0,715.6,173242753.0,109003.41,2.569
2008,Himachal Pradesh,77709.0,118.277,1357.1,11115495.36,6993.81,1.6
2008,Jharkhand,1196859.49,1496.58,2590.4,171198781.48000002,107717.3541,1.129972826
2008,Karnataka,1513987.0,4031.539,3492.2999999999997,216560700.46,136258.83000000002,2.604846006666667
2008,Kerala,234265.0,590.241,7574.400000000001,33509265.6,21083.85,2.3341758240000003
2008,Madhya Pradesh,1706557.0,1571.103,895.0,244105913.3,153590.13,0.911020408
2008,Maharashtra,1521500.0,2287.5,2105.6,217635360.0,136935.0,1.795925926
2008,Manipur,210990.0,518.25,1134.8,30180009.6,18989.1,2.134444444
2008,Meghalaya,108045.0,203.862,9342.900000000001,15454756.8,9724.05,1.829047619
2008,Mizoram,51990.0,68.917,3824.2,7436649.600000001,4679.1,1.8806250000000002
2008,Nagaland,173100.0,345.09,1540.9,24760224.0,15579.0,1.964545455
2008,Odisha,4455000.0,6812.0,4617.0,637243200.0,400950.0,1.553004884
2008,Puducherry,20780.0,50.716,4303.762500000001,2972371.2,1870.2,2.6483333333333334
2008,Punjab,2735000.0,11000.0,691.3,391214400.0,246150.0,3.9855
2008,Sikkim,13000.0,22.23,2247.5,1859520.0,1170.0,1.5925
2008,Tamil Nadu,1931603.0,5183.385,1201.9,276296493.1,173844.27,3.562580645
2008,Tripura,242966.0,627.175,1827.8,34753856.64,21866.94,2.525
2008,Uttar Pradesh,6033382.0,13097.031,1783.2,863014961.24,543004.38,2.1097142855
2008,Uttarakhand,288365.0,568.321,2727.4,41247729.599999994,25952.850000000002,2.363846154
2008,West Bengal,5935696.0,15037.24,4680.299999999999,849041955.86,534212.6399999999,2.3601851853333335
2009,Andhra Pradesh,3440736.0,10838.267,1422.0,536135483.5,584925.12,2.9447727275
2009,Arunachal Pradesh,121468.0,143.893,1701.9,18927143.76,20649.56,1.12
2009,Assam,2497596.0,4408.424,5181.299999999999,389175408.74,424591.32,1.5850617286666668
2009,Bihar,3124030.0,3640.21,2667.8999999999996,486786354.64,531085.1,1.167758772
2009,Chhattisgarh,3837610.0,4347.316,956.9,597976390.2,652393.7,1.106666667
2009,Delhi,6821.0,19.008,528.4,1062848.22,1159.57,2.79
2009,Goa,47104.0,100.605,6669.8,7339745.28,8007.68,2.2325
2009,Gujarat,679500.0,1293.0,1236.0,105879690.0,115515.0,2.363986928
2009,Haryana,1206435.0,3628.0,393.0,187986701.7,205093.95,2.673809524
2009,Himachal Pradesh,76186.0,105.787,969.9,11871302.52,12951.62,1.484545455
2009,Jammu and Kashmir,259892.0,500.88,751.7,40496371.44,44181.64,1.859
2009,Jharkhand,983049.0,592.478,1992.2,153178695.14,167118.33000000002,0.5507336955
2009,Karnataka,1486478.0,3877.407,3963.0,231623001.94,252701.26,2.540506926
2009,Kerala,234013.0,598.339,8464.5,36463905.66,39782.21,2.3248351646666667
2009,Madhya Pradesh,1593071.0,1355.66,904.1,248232323.2,270822.07,0.906041667
2009,Maharashtra,1470600.0,2185.8,2004.8,229148892.0,250002.0,1.67859127
2009,Manipur,113890.0,265.09,992.5,17746339.8,19361.3,1.923333333
2009,Meghalaya,108162.0,204.129,8987.7,16853802.84,18387.54,1.8390476189999998
2009,Mizoram,47204.0,66.131,4172.6,7355327.28,8024.679999999999,1.65875
2009,Nagaland,168570.0,240.31,1225.9,26266577.4,28656.9,1.393636364
2009,Odisha,4365000.0,6913.0,3990.8999999999996,680154300.0,742050.0,1.5877923683333333
2009,Puducherry,20926.0,52.33,4303.762500000001,3260689.32,3557.42,2.587222222
2009,Punjab,2802000.0,11236.0,371.3,436607640.0,476340.0,3.9775
2009,Sikkim,12270.0,20.93,2176.6,1911911.4,2085.9,1.595
2009,Tamil Nadu,1845553.0,5665.258,928.5,287574068.5,313744.01,3.539677419
2009,Tripura,245538.0,640.01,2004.2,38259731.16,41741.46,2.5225
2009,Uttar Pradesh,5172741.0,10776.504,1171.6,806016502.6,879365.97,2.0698591549999996
2009,Uttarakhand,284383.0,591.016,1695.6,44312559.06,48345.11,2.2319230770000003
2009,West Bengal,5630095.0,14340.605,3951.6000000000004,877281402.94,957116.1499999999,2.4103703703333337
2010,Andhra Pradesh,4751309.0,14419.313,2594.0,789239938.0,1140314.16,2.9963636365
2010,Arunachal Pradesh,121570.0,155.993,2574.1,20193992.7,29176.8,1.219375
2010,Assam,2537455.0,5032.529,7735.5,421496650.03,608989.2,1.8579012346666666
2010,Bihar,2845368.0,3112.618,1887.6000000000001,472644078.43,682888.3200000001,1.2422566833333333
2010,Chhattisgarh,3937796.0,6637.737,1283.1,654107293.6,945071.04,1.702222222
2010,Delhi,6848.0,19.083,989.5,1137521.28,1643.52,2.79
2010,Goa,46612.0,114.994,8386.6,7742719.319999999,11186.880000000001,2.515
2010,Gujarat,808100.0,1665.8,2215.0,134233491.0,193944.0,2.407638889
2010,Haryana,1243281.0,3465.0,639.2,206521406.9,298387.44,2.561428571
2010,Himachal Pradesh,75426.0,110.238,1319.8,12529012.86,18102.24,1.561818182
2010,Jammu and Kashmir,261347.0,507.404,1352.0,43412350.17,62723.28,1.874
2010,Karnataka,1539066.0,4473.972,3953.1000000000004,255654253.22,369375.84,2.7526825396666665
2010,Kerala,213186.5,522.738,9395.400000000001,35412409.509,51164.76,2.3063553113333337
2010,Madhya Pradesh,1573535.0,1766.596,856.3,261379898.8,377648.4,1.211666667
2010,Maharashtra,1515700.0,2690.9,2778.0,251772927.0,363768.0,1.8502444445
